source,author,title,description,url,url_to_image,published_on,content,SentimentScore,Compound,Popup,LocationNames,Coordinates,Latitude,Longitude,FrequentWords,Colors
BBC News,https://www.facebook.com/bbcnews,Russia urged to renew Ukraine grain deal at Africa summit,"Egypt's leader says it is ""essential"" the deal allowing Ukraine to export grain be revived.",https://www.bbc.co.uk/news/world-europe-66334467,https://ichef.bbci.co.uk/news/1024/branded_news/AE03/production/_130574544_putinandal-sisi.png,2023-07-28T12:17:38Z,"Egypt's president has urged Vladimir Putin to renew the deal allowing Ukraine to export grain at a summit the Russian president is hosting.
Abdel Fattah al-Sisi said it was ""essential"" the deal be r… [+2423 chars]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"Russia urged to renew Ukraine grain deal at Africa summit
https://www.bbc.co.uk/news/world-europe-66334467","{'Countries': ['Ukraine', 'Egypt']}","(49.4871968, 31.2718321)",49.08382069576955,30.811311346205887,"[('president', 2), ('deal', 2), ('Egypt', 1), ('urged', 1), ('Vladimir', 1)]",#606a00
BBC News,https://www.facebook.com/bbcnews,Prigozhin: Wagner boss spotted in Russia during Africa summit,"Meanwhile at the summit, Vladimir Putin said Russia was ready to send free grain exports to Africa.",https://www.bbc.co.uk/news/world-africa-66333403,https://ichef.bbci.co.uk/news/1024/branded_news/FA4B/production/_130557046_microsoftteams-image.png,2023-07-28T05:17:20Z,"Wagner leader Yevgeny Prigozhin was photographed in St Petersburg during this week's Africa-Russia summit.
He was seen shaking hands with Ambassador Freddy Mapouka, a senior official in the Central … [+2013 chars]","{'neg': 0.052, 'neu': 0.948, 'pos': 0.0, 'compound': -0.1779}",-0.1779,"Prigozhin: Wagner boss spotted in Russia during Africa summit
https://www.bbc.co.uk/news/world-africa-66333403",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-6.4020330111573935,-75.31447104282337,"[('Wagner', 1), ('leader', 1), ('Yevgeny', 1), ('Prigozhin', 1), ('photographed', 1)]",#606a00
Boing Boing,Carla Sinclair,Plane makes dramatic crash landing that severs the cockpit in Somalia (video),"A domestic flight carrying 34 passengers and crew made a dramatic crash landing at Aden Adde airport in Mogadishu, Somalia, which was caught on CCTV footage through what looks like a screen door (see video below, posted by Harun Maruf).



The small Halla Air…",https://boingboing.net/2023/07/12/plane-makes-dramatic-crash-landing-that-severs-the-cockpit-in-somalia-video.html,https://i0.wp.com/boingboing.net/wp-content/uploads/2023/07/somalia-airport.jpeg?fit=1200%2C900&ssl=1,2023-07-12T17:08:49Z,"A domestic flight carrying 34 passengers and crew made a dramatic crash landing at Aden Adde airport in Mogadishu, Somalia, which was caught on CCTV footage through what looks like a screen door (see… [+941 chars]","{'neg': 0.069, 'neu': 0.867, 'pos': 0.064, 'compound': -0.0516}",-0.0516,"Plane makes dramatic crash landing that severs the cockpit in Somalia (video)
https://boingboing.net/2023/07/12/plane-makes-dramatic-crash-landing-that-severs-the-cockpit-in-somalia-video.html",{'Countries': ['Somalia']},"(8.3676771, 49.083416)",8.269616561121197,49.53375891954405,"[('domestic', 1), ('flight', 1), ('carrying', 1), ('34', 1), ('passengers', 1)]",#606a00
Business Insider,Jennifer Sor,Putin promises free grain to African allies after sending prices soaring with attacks on key Ukraine export facilities,"Zimbabwe's president said the nation was grateful for Russia's free grain offer, though Zimbabwe is ""not in any grain deficit at all.""",https://markets.businessinsider.com/news/commodities/putin-russia-ukraine-war-africa-black-sea-grain-wheat-prices-2023-7,https://i.insider.com/643fdadc632fda0018039842?width=1200&format=jpeg,2023-07-27T19:34:51Z,"Sergei Karpukh/Reuters
<ul>
<li>Russia is sending free grain to its allies in Africa. </li>
<li>Putin vowed to ship grain to Burkina Faso, Central African Republic, Eritrea, Mali, Somalia, and Zimba… [+1929 chars]","{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.5106}",0.5106,"Putin promises free grain to African allies after sending prices soaring with attacks on key Ukraine export facilities
https://markets.businessinsider.com/news/commodities/putin-russia-ukraine-war-africa-black-sea-grain-wheat-prices-2023-7",{'Countries': ['Zimbabwe']},"(-18.4554963, 29.7468414)",-18.841304878207975,29.757990039171318,"[('<', 4), ('>', 4), ('\n', 2), ('li', 2), ('grain', 2)]",#ae5c00
ESPN,,Snail-paced: Slow 100M runner prompts apology,Somalia's sports minister publicly apologized Wednesday and ordered that the chairwoman of the national track and field federation be suspended after a seemingly untrained female sprinter represented the African country at the World University Games...,https://www.espn.com/olympics/trackandfield/story/_/id/38122798/somalian-sports-minister-apologizes-slow-100-meter-university-games-sprinter,https://a.espncdn.com/combiner/i?img=%2Fphoto%2F2020%2F0803%2Fr726945_1296x729_16%2D9.jpg,2023-08-02T20:24:31Z,"MOGADISHU, Somalia -- Somalia's sports minister publicly apologized Wednesday and ordered that the chairwoman of the national track and field federation be suspended after a seemingly untrained femal… [+1105 chars]","{'neg': 0.093, 'neu': 0.838, 'pos': 0.069, 'compound': -0.2023}",-0.2023,"Snail-paced: Slow 100M runner prompts apology
https://www.espn.com/olympics/trackandfield/story/_/id/38122798/somalian-sports-minister-apologizes-slow-100-meter-university-games-sprinter",{'Countries': ['Somalia']},"(8.3676771, 49.083416)",7.88053839138709,48.870475228984155,"[('Somalia', 2), ('MOGADISHU', 1), ('sports', 1), ('minister', 1), ('publicly', 1)]",#606a00
The Guardian,Guardian staff and agencies,Russia-Ukraine war at a glance: what we know on day 520 of the invasion,Ukrainian soldiers say they have recpatured village of Staromaiorske; Yevgeny Prigozhin appeared to attend the Russia-Africa summit in St Petersburg<ul><li>See all our Russia-Ukraine war coverage</li></ul> Continue reading...,https://www.theguardian.com/world/2023/jul/28/russia-ukraine-war-at-a-glance-what-we-know-on-day-520-of-the-invasion,https://i.guim.co.uk/img/media/b70790240a641faf27a0262876066301811d85e6/0_405_5992_3595/master/5992.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=ac4294ae2903c0028cd9003fc5c8fbab,2023-07-27T23:39:41Z,"<li>Ukraines president, Volodymyr Zelenskiy, posted a video showing Ukrainian soldiers saying they have recaptured the village of Staromaiorske. In the video, Ukrainian fighters say they have liberat… [+3359 chars]","{'neg': 0.041, 'neu': 0.959, 'pos': 0.0, 'compound': -0.0516}",-0.0516,"Russia-Ukraine war at a glance: what we know on day 520 of the invasion
https://www.theguardian.com/world/2023/jul/28/russia-ukraine-war-at-a-glance-what-we-know-on-day-520-of-the-invasion",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-7.075359464769606,-75.0356206689266,"[('video', 2), ('Ukrainian', 2), ('<', 1), ('li', 1), ('>', 1)]",#606a00
The Guardian,Andrew Roth,Egypt calls on Vladimir Putin to revive Black Sea grain deal,"Abdel Fatah al-Sisi tells summit it is ‘essential’ to revive deal, as Kenya calls Moscow exit ‘a stab in the back’<ul><li>Explainer: What was the Black Sea grain deal and why did it collapse?</li></ul>Egypt’s leader, Abdel Fatah al-Sisi, has urged Vladimir Pu…",https://www.theguardian.com/world/2023/jul/28/egypt-calls-on-vladimir-putin-to-revive-black-sea-grain-deal-ukraine,https://i.guim.co.uk/img/media/de2baf019f080ba2e45bbd341a134d2c2424cb32/0_141_3010_1806/master/3010.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=74751f23c551136989a8745c3c350a99,2023-07-28T15:10:04Z,"Egypts leader, Abdel Fatah al-Sisi, has urged Vladimir Putin to return to the Black Sea grain deal during a Russia-Africa summit marked by concerns about the global economic fallout of the Kremlins i… [+3114 chars]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"Egypt calls on Vladimir Putin to revive Black Sea grain deal
https://www.theguardian.com/world/2023/jul/28/egypt-calls-on-vladimir-putin-to-revive-black-sea-grain-deal-ukraine",{'Countries': ['Kenya']},"(1.4419683, 38.4313975)",1.0262278376052612,38.33635957343112,"[('Egypts', 1), ('leader', 1), ('Abdel', 1), ('Fatah', 1), ('al', 1)]",#606a00
The Guardian,Ben East,In brief: Pax: War and Peace in Rome’s Golden Age; Settlers; Commitment – reviews,"New insights into the Roman empire, a study of the influence of Black African culture on London, and a novel about the effects of depression over generationsTom HollandAbacus, £30, pp448To order Pax, Settlers or Commitment go to guardianbookshop.com. Delivery…",https://www.theguardian.com/books/2023/jul/23/in-brief-pax-war-peace-rome-goden-age-settlers-journeys-through-food-faith-culture-black-african-london-commitment-tom-holland-jimi-famurewa-mona-simpson-reviews,https://i.guim.co.uk/img/media/19de6310d3105fab0ee3e739b48984d3504f2412/0_178_3221_1932/master/3221.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&enable=upscale&s=d3fb9f1827a6d6043a7759d549880e23,2023-07-23T14:00:43Z,"Tom HollandAbacus, £30, pp448
The bestselling historian, author and co-host of The Rest Is History podcast turns his attention to Romes golden age in the third of his superb books on the Roman empir… [+1618 chars]","{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.6249}",0.6249,"In brief: Pax: War and Peace in Rome’s Golden Age; Settlers; Commitment – reviews
https://www.theguardian.com/books/2023/jul/23/in-brief-pax-war-peace-rome-goden-age-settlers-journeys-through-food-faith-culture-black-african-london-commitment-tom-holland-jimi-famurewa-mona-simpson-reviews",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-6.568365119465548,-74.96946779483847,"[('Tom', 1), ('HollandAbacus', 1), ('£', 1), ('30', 1), ('pp448', 1)]",#c94f00
The Guardian,Torin Douglas,George Alagiah obituary,"Highly respected newsreader, foreign correspondent and author who had a passionate belief in the importance of the BBCThe foreign correspondent and newsreader George Alagiah, who has died aged 67 of cancer, was one of Britain’s most respected television journ…",https://www.theguardian.com/media/2023/jul/24/george-alagiah-obituary,https://i.guim.co.uk/img/media/b1266a6d5e7a8adb2731542cd288557ceb1dcdb7/0_268_3872_2324/master/3872.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=aa5457b20c50dfbe62ad211f405fde18,2023-07-24T15:02:12Z,"The foreign correspondent and newsreader George Alagiah, who has died aged 67 of cancer, was one of Britains most respected television journalists, with a reputation built up over many years of cover… [+7747 chars]","{'neg': 0.189, 'neu': 0.731, 'pos': 0.08, 'compound': -0.6815}",-0.6815,"George Alagiah obituary
https://www.theguardian.com/media/2023/jul/24/george-alagiah-obituary",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-6.390899232284898,-75.25724619519337,"[('foreign', 1), ('correspondent', 1), ('newsreader', 1), ('George', 1), ('Alagiah', 1)]",#2d6900
The Guardian,Hannah J Davies and Jim Waterson,BBC newsreader George Alagiah dies aged 67,"Alagiah was diagnosed with stage four bowel cancer in 2014 – for which he underwent 17 rounds of chemotherapyThe BBC newsreader George Alagiah has died at the age of 67, his agent has said.Alagiah was diagnosed with stage four bowel cancer in 2014 – for which…",https://www.theguardian.com/tv-and-radio/2023/jul/24/bbc-newsreader-george-alagiah-dies-aged-67,https://i.guim.co.uk/img/media/efab17654df28dff5755dfd1a80ef1fb5f25b850/0_75_3000_1801/master/3000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=487e0f1a419bacbd6ee9bc1c7f8e70ae,2023-07-24T11:12:47Z,"The BBC newsreader George Alagiah has died at the age of 67, his agent has said.
Alagiah was diagnosed with stage four bowel cancer in 2014 for which he underwent 17 rounds of chemotherapy before a … [+2152 chars]","{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.8402}",-0.8402,"BBC newsreader George Alagiah dies aged 67
https://www.theguardian.com/tv-and-radio/2023/jul/24/bbc-newsreader-george-alagiah-dies-aged-67",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-7.028752050110091,-74.88866510982206,"[('Alagiah', 2), ('BBC', 1), ('newsreader', 1), ('George', 1), ('died', 1)]",#056607
